SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
NC_007795.1	517	1878	+	dnaA	dnaA	 	 	517	1878	517	1878	1	517	1878
NC_007795.1	2156	3289	+	-	-	 	 	2156	3289	2156	3289	1	2156	3289
NC_007795.1	3670	3915	+	-	-	 	 	3670	3915	3670	3915	1	3670	3915
NC_007795.1	3912	5024	+	recF	recF	 	 	3912	5024	3912	5024	1	3912	5024
NC_007795.1	5034	6968	+	-	-	 	 	5034	6968	5034	6968	1	5034	6968
NC_007795.1	7005	9668	+	-	-	 	 	7005	9668	7005	9668	1	7005	9668
NC_007795.1	9755	10456	-	-	-	 	 	9755	10456	9755	10456	1	9755	10456
NC_007795.1	10893	12407	+	-	-	 	 	10893	12407	10893	12407	1	10893	12407
NC_007795.1	12786	14072	+	-	-	 	 	12786	14072	12786	14072	1	12786	14072
NC_007795.1	14722	15417	+	-	-	 	 	14722	15417	14722	15417	1	14722	15417
NC_007795.1	15414	15743	+	-	-	 	 	15414	15743	15414	15743	1	15414	15743
NC_007795.1	16106	17074	+	-	-	 	 	16106	17074	16106	17074	1	16106	17074
NC_007795.1	17365	18303	+	-	-	 	 	17365	18303	17365	18303	1	17365	18303
NC_007795.1	18318	20285	+	-	-	 	 	18318	20285	18318	20285	1	18318	20285
NC_007795.1	20282	20734	+	rplI	rplI	 	 	20282	20734	20282	20734	1	20282	20734
NC_007795.1	20766	22166	+	-	-	 	 	20766	22166	20766	22166	1	20766	22166
NC_007795.1	22444	23727	+	-	-	 	 	22444	23727	22444	23727	1	22444	23727
NC_007795.1	24931	25632	+	-	-	 	 	24931	25632	24931	25632	1	24931	25632
NC_007795.1	25645	27471	+	-	-	 	 	25645	27471	25645	27471	1	25645	27471
NC_007795.1	27515	28798	+	-	-	 	 	27515	28798	27515	28798	1	27515	28798
NC_007795.1	28799	29587	+	-	-	 	 	28799	29587	28799	29587	1	28799	29587
NC_007795.1	29977	30777	+	-	-	 	 	29977	30777	29977	30777	1	29977	30777
NC_007795.1	31005	33323	+	-	-	 	 	31005	33323	31005	33323	1	31005	33323
NC_007795.1	33555	34034	-	-	-	 	 	33555	34034	33555	34034	1	33555	34034
NC_007795.1	33691	34170	+	-	-	 	 	33691	34170	33691	34170	1	33691	34170
NC_007795.1	34375	34509	-	-	-	 	 	34375	34509	34375	34509	1	34375	34509
NC_007795.1	34473	34565	+	-	-	 	 	34473	34565	34473	34565	1	34473	34565
NC_007795.1	34712	36457	+	-	-	 	 	34712	36457	34712	36457	1	34712	36457
NC_007795.1	36551	37003	-	-	-	 	 	36551	37003	36551	37003	1	36551	37003
NC_007795.1	37019	37120	-	-	-	 	 	37019	37120	37019	37120	1	37019	37120
NC_007795.1	37218	37973	-	-	-	 	 	37218	37973	37218	37973	1	37218	37973
NC_007795.1	37973	38233	-	-	-	 	 	37973	38233	37973	38233	1	37973	38233
NC_007795.1	38370	39437	+	-	-	 	 	38370	39437	38370	39437	1	38370	39437
NC_007795.1	39468	40802	+	-	-	 	 	39468	40802	39468	40802	1	39468	40802
NC_007795.1	40821	42014	+	-	-	 	 	40821	42014	40821	42014	1	40821	42014
NC_007795.1	42281	42382	-	-	-	 	 	42281	42382	42281	42382	1	42281	42382
NC_007795.1	42681	43613	-	-	-	 	 	42681	43613	42681	43613	1	42681	43613
NC_007795.1	43976	44179	+	-	-	 	 	43976	44179	43976	44179	1	43976	44179
NC_007795.1	44228	44524	+	-	-	 	 	44228	44524	44228	44524	1	44228	44524
NC_007795.1	44596	45816	-	-	-	 	 	44596	45816	44596	45816	1	44596	45816
NC_007795.1	45809	46360	-	-	-	 	 	45809	46360	45809	46360	1	45809	46360
NC_007795.1	46473	47333	+	-	-	 	 	46473	47333	46473	47333	1	46473	47333
NC_007795.1	47689	48222	-	-	-	 	 	47689	48222	47689	48222	1	47689	48222
NC_007795.1	48313	49056	+	-	-	 	 	48313	49056	48313	49056	1	48313	49056
NC_007795.1	49490	50092	+	-	-	 	 	49490	50092	49490	50092	1	49490	50092
NC_007795.1	50359	53511	+	-	-	 	 	50359	53511	50359	53511	1	50359	53511
NC_007795.1	53568	54050	+	-	-	 	 	53568	54050	53568	54050	1	53568	54050
NC_007795.1	54255	55241	+	-	-	 	 	54255	55241	54255	55241	1	54255	55241
NC_007795.1	55462	56232	+	-	-	 	 	55462	56232	55462	56232	1	55462	56232
NC_007795.1	56284	57054	+	-	-	 	 	56284	57054	56284	57054	1	56284	57054
NC_007795.1	57118	57888	+	-	-	 	 	57118	57888	57118	57888	1	57118	57888
NC_007795.1	57955	58722	+	-	-	 	 	57955	58722	57955	58722	1	57955	58722
NC_007795.1	58855	61053	+	-	-	 	 	58855	61053	58855	61053	1	58855	61053
NC_007795.1	61204	62382	+	-	-	 	 	61204	62382	61204	62382	1	61204	62382
