SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
NC_000964.3	1	148	+	S1	S1	 	 	1	148	1	148	1	1	148
NC_000964.3	24	297	-	S2	S2	 	 	24	297	24	297	1	24	297
NC_000964.3	150	409	+	S3	S3	 	 	150	409	150	409	1	150	409
NC_000964.3	299	1067	-	S4	S4	 	 	299	1067	299	1067	1	299	1067
NC_000964.3	410	1750	+	dnaA	dnaA	 	 	410	1750	410	1750	1	410	1750
NC_000964.3	1751	1938	+	S5	S5	 	 	1751	1938	1751	1938	1	1751	1938
NC_000964.3	1939	3075	+	dnaN	dnaN	 	 	1939	3075	1939	3075	1	1939	3075
NC_000964.3	3206	3421	+	yaaA	yaaA	 	 	3206	3421	3206	3421	1	3206	3421
NC_000964.3	3437	4549	+	recF	recF	 	 	3437	4549	3437	4549	1	3437	4549
NC_000964.3	4567	4812	+	yaaB	yaaB	 	 	4567	4812	4567	4812	1	4567	4812
NC_000964.3	4867	6783	+	gyrB	gyrB	 	 	4867	6783	4867	6783	1	4867	6783
NC_000964.3	6784	6993	+	S6	S6	 	 	6784	6993	6784	6993	1	6784	6993
NC_000964.3	6994	9459	+	gyrA	gyrA	 	 	6994	9459	6994	9459	1	6994	9459
NC_000964.3	9529	9614	+	S7	S7	 	 	9529	9614	9529	9614	1	9529	9614
NC_000964.3	14811	15868	+	S8	S8	 	 	14811	15868	14811	15868	1	14811	15868
NC_000964.3	14847	15794	-	yaaC	yaaC	 	 	14847	15794	14847	15794	1	14847	15794
NC_000964.3	15915	17381	+	guaB	guaB	 	 	15915	17381	15915	17381	1	15915	17381
NC_000964.3	17238	17833	-	S9	S9	 	 	17238	17833	17238	17833	1	17238	17833
NC_000964.3	17453	17533	+	S10	S10	 	 	17453	17533	17453	17533	1	17453	17533
NC_000964.3	17534	18865	+	dacA	dacA	 	 	17534	18865	17534	18865	1	17534	18865
NC_000964.3	18866	18974	+	S11	S11	 	 	18866	18974	18866	18974	1	18866	18974
NC_000964.3	18976	19061	+	S12	S12	 	 	18976	19061	18976	19061	1	18976	19061
NC_000964.3	19062	19946	+	pdxS	pdxS	 	 	19062	19946	19062	19946	1	19062	19946
NC_000964.3	19194	19923	-	S13	S13	 	 	19194	19923	19194	19923	1	19194	19923
NC_000964.3	19968	20558	+	pdxT	pdxT	 	 	19968	20558	19968	20558	1	19968	20558
NC_000964.3	20611	20823	+	BSU_misc_RNA_1	BSU_misc_RNA_1	 	 	20611	20823	20611	20823	1	20611	20823
NC_000964.3	20880	22157	+	serS	serS	 	 	20880	22157	20880	22157	1	20880	22157
NC_000964.3	22452	22529	+	S14	S14	 	 	22452	22529	22452	22529	1	22452	22529
NC_000964.3	22496	23149	-	dck	dck	 	 	22496	23149	22496	23149	1	22496	23149
NC_000964.3	22531	23167	+	S15	S15	 	 	22531	23167	22531	23167	1	22531	23167
NC_000964.3	23146	23769	-	dgk	dgk	 	 	23146	23769	23146	23769	1	23146	23769
NC_000964.3	23868	25151	-	yaaH	yaaH	 	 	23868	25151	23868	25151	1	23868	25151
NC_000964.3	25221	25766	-	yaaI	yaaI	 	 	25221	25766	25221	25766	1	25221	25766
NC_000964.3	25655	25851	+	S16	S16	 	 	25655	25851	25655	25851	1	25655	25851
NC_000964.3	25852	26337	+	tadA	tadA	 	 	25852	26337	25852	26337	1	25852	26337
NC_000964.3	26383	26532	+	S17	S17	 	 	26383	26532	26383	26532	1	26383	26532
NC_000964.3	26533	26635	+	scr	scr	 	 	26533	26635	26533	26635	1	26533	26635
NC_000964.3	26636	26731	+	S18	S18	 	 	26636	26731	26636	26731	1	26636	26731
NC_000964.3	26814	28505	+	dnaX	dnaX	 	 	26814	28505	26814	28505	1	26814	28505
NC_000964.3	28529	28852	+	yaaK	yaaK	 	 	28529	28852	28529	28852	1	28529	28852
NC_000964.3	28867	29463	+	recR	recR	 	 	28867	29463	28867	29463	1	28867	29463
NC_000964.3	29481	29705	+	yaaL	yaaL	 	 	29481	29705	29481	29705	1	29481	29705
NC_000964.3	29772	30035	+	bofA	bofA	 	 	29772	30035	29772	30035	1	29772	30035
NC_000964.3	30076	30278	+	S19	S19	 	 	30076	30278	30076	30278	1	30076	30278
NC_000964.3	35104	35236	+	S20	S20	 	 	35104	35236	35104	35236	1	35104	35236
NC_000964.3	35356	35458	+	S21	S21	 	 	35356	35458	35356	35458	1	35356	35458
NC_000964.3	35531	35725	+	csfB	csfB	 	 	35531	35725	35531	35725	1	35531	35725
NC_000964.3	35845	36459	+	xpaC	xpaC	 	 	35845	36459	35845	36459	1	35845	36459
NC_000964.3	36478	37638	+	yaaN	yaaN	 	 	36478	37638	36478	37638	1	36478	37638
NC_000964.3	37639	37719	+	S22	S22	 	 	37639	37719	37639	37719	1	37639	37719
NC_000964.3	37720	39162	+	yaaO	yaaO	 	 	37720	39162	37720	39162	1	37720	39162
NC_000964.3	39159	39797	+	tmk	tmk	 	 	39159	39797	39159	39797	1	39159	39797
NC_000964.3	39871	40200	+	yaaQ	yaaQ	 	 	39871	40200	39871	40200	1	39871	40200
NC_000964.3	40213	40653	+	yaaR	yaaR	 	 	40213	40653	40213	40653	1	40213	40653
NC_000964.3	40665	41654	+	holB	holB	 	 	40665	41654	40665	41654	1	40665	41654
NC_000964.3	41657	42484	+	yaaT	yaaT	 	 	41657	42484	41657	42484	1	41657	42484
NC_000964.3	42499	42858	+	yabA	yabA	 	 	42499	42858	42499	42858	1	42499	42858
NC_000964.3	42917	43660	+	yabB	yabB	 	 	42917	43660	42917	43660	1	42917	43660
NC_000964.3	43647	43946	+	yazA	yazA	 	 	43647	43946	43647	43946	1	43647	43946
NC_000964.3	43921	44799	+	yabC	yabC	 	 	43921	44799	43921	44799	1	43921	44799
NC_000964.3	44848	45138	-	abrB	abrB	 	 	44848	45138	44848	45138	1	44848	45138
NC_000964.3	45224	45399	-	S23	S23	 	 	45224	45399	45224	45399	1	45224	45399
NC_000964.3	45524	45632	+	S24	S24	 	 	45524	45632	45524	45632	1	45524	45632
NC_000964.3	45633	47627	+	metS	metS	 	 	45633	47627	45633	47627	1	45633	47627
NC_000964.3	47673	50019	-	S25	S25	 	 	47673	50019	47673	50019	1	47673	50019
NC_000964.3	47706	48473	+	yabD	yabD	 	 	47706	48473	47706	48473	1	47706	48473
NC_000964.3	48474	48554	+	S26	S26	 	 	48474	48554	48474	48554	1	48474	48554
NC_000964.3	48629	49942	+	yabE	yabE	 	 	48629	49942	48629	49942	1	48629	49942
NC_000964.3	49987	50086	+	S27	S27	 	 	49987	50086	49987	50086	1	49987	50086
NC_000964.3	50087	50647	+	rnmV	rnmV	 	 	50087	50647	50087	50647	1	50087	50647
NC_000964.3	50640	51518	+	ksgA	ksgA	 	 	50640	51518	50640	51518	1	50640	51518
NC_000964.3	51558	51679	+	S28	S28	 	 	51558	51679	51558	51679	1	51558	51679
NC_000964.3	51680	52552	+	yabG	yabG	 	 	51680	52552	51680	52552	1	51680	52552
NC_000964.3	52649	52719	+	S29	S29	 	 	52649	52719	52649	52719	1	52649	52719
NC_000964.3	52763	53023	+	veg	veg	 	 	52763	53023	52763	53023	1	52763	53023
NC_000964.3	53111	53182	+	S30	S30	 	 	53111	53182	53111	53182	1	53111	53182
NC_000964.3	53183	53368	+	sspF	sspF	 	 	53183	53368	53183	53368	1	53183	53368
NC_000964.3	53363	55717	-	S31	S31	 	 	53363	55717	53363	55717	1	53363	55717
NC_000964.3	53516	54385	+	ispE	ispE	 	 	53516	54385	53516	54385	1	53516	54385
NC_000964.3	54441	55298	+	purR	purR	 	 	54441	55298	54441	55298	1	54441	55298
NC_000964.3	55295	55672	+	yabJ	yabJ	 	 	55295	55672	55295	55672	1	55295	55672
NC_000964.3	55707	55815	+	S32	S32	 	 	55707	55815	55707	55815	1	55707	55815
NC_000964.3	55866	56159	+	spoVG	spoVG	 	 	55866	56159	55866	56159	1	55866	56159
NC_000964.3	56193	56304	+	S33	S33	 	 	56193	56304	56193	56304	1	56193	56304
NC_000964.3	56352	57722	+	gcaD	gcaD	 	 	56352	57722	56352	57722	1	56352	57722
NC_000964.3	57745	58698	+	prs	prs	 	 	57745	58698	57745	58698	1	57745	58698
NC_000964.3	58783	59397	+	ctc	ctc	 	 	58783	59397	58783	59397	1	58783	59397
NC_000964.3	59504	60070	+	pth	pth	 	 	59504	60070	59504	60070	1	59504	60070
NC_000964.3	60130	60360	+	yabK	yabK	 	 	60130	60360	60130	60360	1	60130	60360
NC_000964.3	60361	60429	+	S34	S34	 	 	60361	60429	60361	60429	1	60361	60429
NC_000964.3	60430	63963	+	mfd	mfd	 	 	60430	63963	60430	63963	1	60430	63963
NC_000964.3	64001	64098	+	S35	S35	 	 	64001	64098	64001	64098	1	64001	64098
NC_000964.3	64099	64635	+	spoVT	spoVT	 	 	64099	64635	64099	64635	1	64099	64635
NC_000964.3	64817	66415	+	yabM	yabM	 	 	64817	66415	64817	66415	1	64817	66415
NC_000964.3	66405	67874	+	yabN	yabN	 	 	66405	67874	66405	67874	1	66405	67874
NC_000964.3	67877	68137	+	yabO	yabO	 	 	67877	68137	67877	68137	1	67877	68137
NC_000964.3	68216	68518	+	yabP	yabP	 	 	68216	68518	68216	68518	1	68216	68518
NC_000964.3	68515	69150	+	yabQ	yabQ	 	 	68515	69150	68515	69150	1	68515	69150
NC_000964.3	69168	69545	+	divIC	divIC	 	 	69168	69545	69168	69545	1	69168	69545
NC_000964.3	69626	70012	+	yabR	yabR	 	 	69626	70012	69626	70012	1	69626	70012
